Target,Mode,Run,Accuracy_All,Accuracy_Monomer,TN_pct_All,FP_pct_All,FN_pct_All,TP_pct_All,TN_pct_Monomer,FP_pct_Monomer,FN_pct_Monomer,TP_pct_Monomer,N_test_All,N_test_Monomer,Std_All,Std_Monomer,TN_pct_All_std,FP_pct_All_std,FN_pct_All_std,TP_pct_All_std,TN_pct_Monomer_std,FP_pct_Monomer_std,FN_pct_Monomer_std,TP_pct_Monomer_std
Mutagenic,Binary (2 vs others),8,88.46153846153845,77.77777777777779,83.51648351648352,1.6483516483516485,9.89010989010989,4.945054945054945,77.77777777777779,0.0,22.22222222222222,0.0,182.0,9.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),9,85.71428571428571,94.11764705882352,82.96703296703298,2.197802197802198,12.087912087912088,2.7472527472527473,94.11764705882352,0.0,5.88235294117647,0.0,182.0,17.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),10,89.01098901098901,92.3076923076923,83.51648351648352,1.6483516483516485,9.340659340659341,5.4945054945054945,92.3076923076923,0.0,7.6923076923076925,0.0,182.0,13.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),11,87.36263736263736,90.0,83.51648351648352,1.6483516483516485,10.989010989010989,3.8461538461538463,80.0,0.0,10.0,10.0,182.0,10.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),12,87.91208791208791,93.75,83.51648351648352,1.6483516483516485,10.43956043956044,4.395604395604396,93.75,0.0,6.25,0.0,182.0,16.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),13,85.16483516483517,100.0,84.06593406593407,1.098901098901099,13.736263736263737,1.098901098901099,100.0,0.0,0.0,0.0,182.0,8.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),14,87.36263736263736,94.44444444444444,82.96703296703298,2.197802197802198,10.43956043956044,4.395604395604396,94.44444444444444,0.0,5.555555555555555,0.0,182.0,18.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),15,89.01098901098901,81.81818181818183,82.41758241758241,2.7472527472527473,8.241758241758241,6.593406593406594,81.81818181818183,0.0,18.181818181818183,0.0,182.0,11.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),16,87.36263736263736,100.0,83.51648351648352,1.6483516483516485,10.989010989010989,3.8461538461538463,100.0,0.0,0.0,0.0,182.0,14.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),17,87.91208791208791,100.0,84.61538461538461,0.5494505494505495,11.538461538461538,3.296703296703297,100.0,0.0,0.0,0.0,182.0,7.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),18,86.81318681318682,90.9090909090909,83.51648351648352,1.6483516483516485,11.538461538461538,3.296703296703297,90.9090909090909,0.0,9.090909090909092,0.0,182.0,11.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),19,87.36263736263736,93.33333333333333,83.51648351648352,1.6483516483516485,10.989010989010989,3.8461538461538463,93.33333333333333,0.0,6.666666666666667,0.0,182.0,15.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),20,87.91208791208791,100.0,83.51648351648352,1.6483516483516485,10.43956043956044,4.395604395604396,100.0,0.0,0.0,0.0,182.0,13.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),21,84.61538461538461,100.0,80.76923076923077,4.395604395604396,10.989010989010989,3.8461538461538463,100.0,0.0,0.0,0.0,182.0,9.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),22,84.61538461538461,100.0,81.86813186813187,3.296703296703297,12.087912087912088,2.7472527472527473,100.0,0.0,0.0,0.0,182.0,11.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),23,87.36263736263736,90.9090909090909,84.06593406593407,1.098901098901099,11.538461538461538,3.296703296703297,90.9090909090909,0.0,9.090909090909092,0.0,182.0,11.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),24,84.61538461538461,92.3076923076923,81.86813186813187,3.296703296703297,12.087912087912088,2.7472527472527473,92.3076923076923,0.0,7.6923076923076925,0.0,182.0,13.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),25,86.81318681318682,100.0,84.61538461538461,0.5494505494505495,12.637362637362637,2.197802197802198,100.0,0.0,0.0,0.0,182.0,15.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),26,86.81318681318682,100.0,81.31868131868131,3.8461538461538463,9.340659340659341,5.4945054945054945,100.0,0.0,0.0,0.0,182.0,12.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),27,85.16483516483517,100.0,82.41758241758241,2.7472527472527473,12.087912087912088,2.7472527472527473,100.0,0.0,0.0,0.0,182.0,11.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),28,84.61538461538461,100.0,82.41758241758241,2.7472527472527473,12.637362637362637,2.197802197802198,100.0,0.0,0.0,0.0,182.0,21.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),29,84.61538461538461,100.0,82.41758241758241,2.7472527472527473,12.637362637362637,2.197802197802198,100.0,0.0,0.0,0.0,182.0,11.0,,,,,,,,,,
